Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
14/08/10,PSV Eindhoven,Graafschap,6,0,0,6,0.20825948566080132
14/08/10,Twente,Heerenveen,0,0,0,0,0.36669215253905524
14/08/10,VVV Venlo,Heracles,1,0,0,1,0.39732359348593865
15/08/10,Den Haag,Roda,1,3,1,4,0.4329298103775607
15/08/10,Excelsior,Feyenoord,3,2,1,5,0.34804102136599135
15/08/10,Utrecht,NAC Breda,3,1,1,4,0.50335613872506
15/08/10,Willem II,Nijmegen,3,5,1,8,0.5162408181107881
20/08/10,Excelsior,Nijmegen,4,2,1,6,0.5110140312731298
21/08/10,Ajax,Roda,3,0,0,3,0.4158721883090532
21/08/10,Groningen,Graafschap,2,1,1,3,0.30571030116984377
21/08/10,Heerenveen,NAC Breda,3,1,1,4,0.4121858736362495
21/08/10,Vitesse,Twente,0,3,0,3,0.5170216757709857
22/08/10,Heracles,Feyenoord,1,1,1,2,0.2454521510798047
22/08/10,PSV Eindhoven,AZ Alkmaar,3,1,1,4,0.3989833366109427
22/08/10,Utrecht,Willem II,3,0,0,3,0.36779223050460974
22/08/10,VVV Venlo,Den Haag,2,3,1,5,0.3701933705176792
27/08/10,Willem II,Groningen,0,3,0,3,0.43626322306886106
28/08/10,NAC Breda,VVV Venlo,2,0,0,2,0.35372058725769095
28/08/10,Nijmegen,Heerenveen,2,2,1,4,0.33539823438597793
28/08/10,Roda,Heracles,4,2,1,6,0.25737698297386535
29/08/10,AZ Alkmaar,Excelsior,1,1,1,2,0.6154124209444518
29/08/10,Den Haag,PSV Eindhoven,2,2,1,4,0.4250751348439694
29/08/10,Feyenoord,Vitesse,4,0,0,4,0.610767753038054
29/08/10,Graafschap,Ajax,0,5,0,5,0.4035641796295302
29/08/10,Twente,Utrecht,4,0,0,4,0.23418840595993853
11/09/10,Ajax,Willem II,2,0,0,2,0.21538051220059146
11/09/10,AZ Alkmaar,Roda,1,2,1,3,0.5331944576058567
11/09/10,Excelsior,Heracles,2,1,1,3,0.4534888924987673
11/09/10,Heerenveen,Vitesse,2,1,1,3,0.442117922342065
11/09/10,PSV Eindhoven,Nijmegen,3,1,1,4,0.5786384874262887
11/09/10,VVV Venlo,Twente,1,2,1,3,0.258050160436495
12/09/10,Den Haag,Graafschap,2,2,1,4,0.4127335069961377
12/09/10,Groningen,Utrecht,1,0,0,1,0.45637759708927317
12/09/10,NAC Breda,Feyenoord,2,0,0,2,0.44614055730218516
17/09/10,Graafschap,Heerenveen,3,2,1,5,0.2940675509883784
18/09/10,Groningen,Excelsior,2,0,0,2,0.4733147424704972
18/09/10,Vitesse,NAC Breda,0,0,0,0,0.4577407625376188
18/09/10,Willem II,Den Haag,2,4,1,6,0.43038704188413524
19/09/10,Feyenoord,Ajax,1,2,1,3,0.39759539608747685
19/09/10,Heracles,Twente,0,0,0,0,0.2355169007162222
19/09/10,Nijmegen,AZ Alkmaar,0,1,0,1,0.5135203993783618
19/09/10,Roda,PSV Eindhoven,0,0,0,0,0.35364403679511036
19/09/10,Utrecht,VVV Venlo,3,2,1,5,0.26664476858910446
25/09/10,AZ Alkmaar,Utrecht,1,0,0,1,0.48815033523501933
25/09/10,Den Haag,Heracles,3,2,1,5,0.586536596304776
25/09/10,Heerenveen,Roda,2,2,1,4,0.4520480493623478
25/09/10,PSV Eindhoven,Groningen,1,1,1,2,0.3592466733456998
25/09/10,Twente,Ajax,2,2,1,4,0.23071605737590725
26/09/10,Excelsior,Vitesse,0,2,0,2,0.48243087089368863
26/09/10,NAC Breda,Willem II,2,1,1,3,0.1516656519239911
26/09/10,Nijmegen,Feyenoord,3,0,0,3,0.2960876109192193
26/09/10,VVV Venlo,Graafschap,1,0,0,1,0.37522457917995766
01/10/10,Vitesse,Willem II,0,0,0,0,0.21692445337206218
02/10/10,Excelsior,Roda,1,2,1,3,0.43255583066538905
