Date,HomeTeam,AwayTeam,FTHG,FTAG,A&H Scored?,Note Match Beta
22/08/10,PSV Eindhoven,AZ Alkmaar,3.0,1.0,1,0.655304751805282
22/08/10,Utrecht,Willem II,3.0,0.0,,0.5930520628187648
22/08/10,VVV Venlo,Den Haag,2.0,3.0,1,0.6207786698985003
27/08/10,Willem II,Groningen,0.0,3.0,,0.5845387062566278
28/08/10,NAC Breda,VVV Venlo,2.0,0.0,,0.5848901681563399
28/08/10,Nijmegen,Heerenveen,2.0,2.0,1,0.7073923142958137
28/08/10,Roda,Heracles,4.0,2.0,1,0.5511932535474423
29/08/10,AZ Alkmaar,Excelsior,1.0,1.0,1,0.7591147805887997
29/08/10,Den Haag,PSV Eindhoven,2.0,2.0,1,0.6870898348735041
29/08/10,Feyenoord,Vitesse,4.0,0.0,,0.6706670706458617
29/08/10,Graafschap,Ajax,0.0,5.0,,0.45208200777659946
29/08/10,Twente,Utrecht,4.0,0.0,,0.5289360197949806
11/09/10,Ajax,Willem II,2.0,0.0,,0.4751259910114629
11/09/10,AZ Alkmaar,Roda,1.0,2.0,1,0.7202413775690553
11/09/10,Excelsior,Heracles,2.0,1.0,1,0.6517896278341665
11/09/10,Heerenveen,Vitesse,2.0,1.0,1,0.6770317628642125
11/09/10,PSV Eindhoven,Nijmegen,3.0,1.0,1,0.6895909710649901
11/09/10,VVV Venlo,Twente,1.0,2.0,1,0.4741114982578397
12/09/10,Den Haag,Graafschap,2.0,2.0,1,0.5961288693632277
12/09/10,Groningen,Utrecht,1.0,0.0,,0.5826879765692067
12/09/10,NAC Breda,Feyenoord,2.0,0.0,,0.6359591981012978
17/09/10,Graafschap,Heerenveen,3.0,2.0,1,0.5659506135434025
18/09/10,Groningen,Excelsior,2.0,0.0,,0.6308993586830278
18/09/10,Vitesse,NAC Breda,0.0,0.0,,0.5930399434429127
18/09/10,Willem II,Den Haag,2.0,4.0,1,0.6435787506943392
19/09/10,Feyenoord,Ajax,1.0,2.0,1,0.6053582790486289
19/09/10,Heracles,Twente,0.0,0.0,,0.4632136544967934
19/09/10,Nijmegen,AZ Alkmaar,0.0,1.0,,0.7481007928091703
19/09/10,Roda,PSV Eindhoven,0.0,0.0,,0.5601166489925768
19/09/10,Utrecht,VVV Venlo,3.0,2.0,1,0.5444680098974903
25/09/10,AZ Alkmaar,Utrecht,1.0,0.0,,0.6314295813765591
25/09/10,Den Haag,Heracles,3.0,2.0,1,0.7018441650255012
25/09/10,Heerenveen,Roda,2.0,2.0,1,0.6749992425390092
25/09/10,PSV Eindhoven,Groningen,1.0,1.0,1,0.6150648891582083
25/09/10,Twente,Ajax,2.0,2.0,1,0.5090476190476191
26/09/10,Excelsior,Vitesse,0.0,2.0,,0.6021456344998233
26/09/10,NAC Breda,Willem II,2.0,1.0,1,0.5588123011664899
26/09/10,Nijmegen,Feyenoord,3.0,0.0,,0.6282164318537595
26/09/10,VVV Venlo,Graafschap,1.0,0.0,,0.45047568550219663
01/10/10,Vitesse,Willem II,0.0,0.0,,0.4833338383073272
