Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
30/04/11,Bayern Munich,Schalke 04,4,1,1,5,0.2833333333333333
30/04/11,Dortmund,Nurnberg,2,0,0,2,0.14166666666666666
30/04/11,FC Koln,Leverkusen,2,0,0,2,0.2833333333333333
30/04/11,Hamburg,Freiburg,0,2,0,2,0.20833333333333334
30/04/11,Hannover,M'gladbach,0,1,0,1,0.07500000000000001
30/04/11,Hoffenheim,Stuttgart,1,2,1,3,0.24583333333333332
30/04/11,Mainz,Ein Frankfurt,3,0,0,3,0.18333333333333335
07/05/11,Ein Frankfurt,FC Koln,0,2,0,2,0.44166666666666665
07/05/11,Leverkusen,Hamburg,1,1,1,2,0.22083333333333333
07/05/11,M'gladbach,Freiburg,2,0,0,2,0.11666666666666667
07/05/11,Nurnberg,Hoffenheim,1,2,1,3,0.2875
07/05/11,Schalke 04,Mainz,1,3,1,4,0.1
07/05/11,St Pauli,Bayern Munich,1,8,1,9,0.4
07/05/11,Stuttgart,Hannover,2,1,1,3,0.24583333333333335
07/05/11,Werder Bremen,Dortmund,2,0,0,2,0.20833333333333334
07/05/11,Wolfsburg,Kaiserslautern,1,2,1,3,0.3125
14/05/11,Bayern Munich,Stuttgart,2,1,1,3,0.44166666666666665
14/05/11,Dortmund,Ein Frankfurt,3,1,1,4,0.1
14/05/11,FC Koln,Schalke 04,2,1,1,3,0.2625
14/05/11,Freiburg,Leverkusen,0,1,0,1,0.3125
14/05/11,Hamburg,M'gladbach,1,1,1,2,0.07500000000000001
14/05/11,Hannover,Nurnberg,3,1,1,4,0.05
14/05/11,Hoffenheim,Wolfsburg,1,3,1,4,0.15416666666666665
14/05/11,Kaiserslautern,Werder Bremen,3,2,1,5,0.27083333333333337
14/05/11,Mainz,St Pauli,2,1,1,3,0.14166666666666666
20/08/10,Bayern Munich,Wolfsburg,2,1,1,3,0.375
21/08/10,FC Koln,Kaiserslautern,1,3,1,4,0.30833333333333335
21/08/10,Freiburg,St Pauli,1,3,1,4,0.29583333333333334
21/08/10,Hamburg,Schalke 04,2,1,1,3,0.375
21/08/10,Hannover,Ein Frankfurt,2,1,1,3,0.2833333333333333
21/08/10,Hoffenheim,Werder Bremen,4,1,1,5,0.44166666666666665
21/08/10,M'gladbach,Nurnberg,1,1,1,2,0.15416666666666665
22/08/10,Dortmund,Leverkusen,0,2,0,2,0.17916666666666667
22/08/10,Mainz,Stuttgart,2,0,0,2,0.4
27/08/10,Kaiserslautern,Bayern Munich,2,0,0,2,0.375
28/08/10,Ein Frankfurt,Hamburg,1,3,1,4,0.24583333333333332
28/08/10,Nurnberg,Freiburg,1,2,1,3,0.20416666666666666
28/08/10,Schalke 04,Hannover,1,2,1,3,0.375
28/08/10,St Pauli,Hoffenheim,0,1,0,1,0.44166666666666665
28/08/10,Werder Bremen,FC Koln,4,2,1,6,0.16666666666666669
28/08/10,Wolfsburg,Mainz,3,4,1,7,0.4
29/08/10,Leverkusen,M'gladbach,3,6,1,9,0.35
29/08/10,Stuttgart,Dortmund,1,3,1,4,0.20416666666666666
10/09/10,Hoffenheim,Schalke 04,2,0,0,2,0.4666666666666667
11/09/10,Bayern Munich,Werder Bremen,0,0,0,0,0.4916666666666667
11/09/10,Dortmund,Wolfsburg,2,0,0,2,0.2625
11/09/10,Freiburg,Stuttgart,2,1,1,3,0.29583333333333334
11/09/10,Hamburg,Nurnberg,1,1,1,2,0.39166666666666666
11/09/10,Hannover,Leverkusen,2,2,1,4,0.22083333333333333
11/09/10,M'gladbach,Ein Frankfurt,0,4,0,4,0.35
12/09/10,FC Koln,St Pauli,1,0,0,1,0.44166666666666665
12/09/10,Mainz,Kaiserslautern,2,1,1,3,0.2875
17/09/10,Ein Frankfurt,Freiburg,0,1,0,1,0.30833333333333335
18/09/10,Bayern Munich,FC Koln,0,0,0,0,0.29583333333333334
