Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
16/10/10,Schalke 04,Stuttgart,2,2,1,0.6652196666815569
16/10/10,St Pauli,Nurnberg,3,2,1,0.5210191929539849
16/10/10,Werder Bremen,Freiburg,2,1,1,0.5646383185214565
16/10/10,Wolfsburg,Leverkusen,2,3,1,0.5754872605281066
17/10/10,Hoffenheim,M'gladbach,3,2,1,0.5463930141032948
17/10/10,Kaiserslautern,Ein Frankfurt,0,3,0,0.3450973101996053
22/10/10,Hamburg,Bayern Munich,0,0,0,0.4795794668024917
23/10/10,Ein Frankfurt,Schalke 04,0,0,0,0.4047455492230337
23/10/10,Freiburg,Kaiserslautern,2,1,1,0.5736545087819231
23/10/10,Hannover,FC Koln,2,1,1,0.447736112342332
23/10/10,M'gladbach,Werder Bremen,1,4,1,0.60707890283394
23/10/10,Nurnberg,Wolfsburg,2,1,1,0.5972143742350245
24/10/10,Dortmund,Hoffenheim,1,1,1,0.4962136902311024
24/10/10,Leverkusen,Mainz,0,1,0,0.4409985821421589
24/10/10,Stuttgart,St Pauli,2,0,0,0.4915732486454488
29/10/10,Bayern Munich,Freiburg,4,2,1,0.4963235040168554
30/10/10,FC Koln,Hamburg,3,2,1,0.5462271276145121
30/10/10,Kaiserslautern,M'gladbach,3,0,0,0.3942039490191759
30/10/10,Schalke 04,Leverkusen,0,1,0,0.4773306736244406
30/10/10,St Pauli,Ein Frankfurt,1,3,1,0.4500157521770298
30/10/10,Werder Bremen,Nurnberg,2,3,1,0.6089304901910189
30/10/10,Wolfsburg,Stuttgart,2,0,0,0.5701511393753195
